message,use_as
de combien vous me remboursez si je veux annuler mon billet,example
Combien de temps avant le départ je peux me faire rembourser?,example
J’ai un premium l’échange est gratuit jusqu’à quand?,example
Je peux échanger mon billet gratuitement,example
annulle mon billet,example
Annuler un billet miles,example
Annulation de billet,example
Je viens juste d’acheter mon billet mais je me suis trmopé je peux annuler ?,example
Est-ce que je peux me faire rembourser mon billet ??,example
annuler billet de groupe,example
comment annuler ma ticket tarif senior,example
je veux me faire rembourser mon billet jeune,example
politique de remboursement voyageurs fréquents,example
"Ma réunion est annulée, puis-je annuler mon billet ?",example
"Je voyage le 20 décembre mais j’aimerai échanger mon voyage, est-ce possible",example
"J’aimerai échanger mon billet Premium, je crois que c’est possible",example
J’ai pris un billet STANDARD je peux quand même échanger ?,example
J’ai un imprévu je peux échanger mon billet ?,example
Je viens juste d'acheter mon billet mais je me suis trmopé je peux annuler ?,example
J'ai un premium l'échange est gratuit jusqu'à quand?,example
condition d'annulation en premium,example
"jai un tarif mini, est-ce que je peux l'échanger pour un train plus tard ?",example
j'ai acheté un billet avec mon abonnement comment me faire rembourser svp ?,example
Est ce que je peux échanger mon billet standard,example
Echange Groupe 20 décembre,example
"J’aimerai pouvoir me faire rembourser, c’est possible ?",example
"J’ai un tarif Premium, je peux échanger mon billet en ligne ?",example
Combien ca me coute de modifier l'heure de départ de mon train en direction de Bruxelles,example
mon billet peut être échanger ?,example
comment annuler mon billet ?,example
je veux rembourser mon billet,example
je veux annuler mon billet,example
je peux annuler mon billet?,example
échange,example
je veux annuler au plus vite mon billet,example
Je voudrais échanger mon billet tick up,example
j e veux échanger mon billet,example
"je me suis trompé de billet, est-ce que je peux l'annuler ?",example
annuler premium,example
je peux échanger mon premium,example
est ce que mon billet comfort est annulable,example
je peux échanger mon billet premium,example
modifier billet,example
modifier,example
Modifier,example
"J’ai un imprévu, je peux modifier mon billet ?",example
Je peux échanger mon tarif ?,example
Je peux échanger mon billet Premium ?,example
Je peux annuler mon billet Comfort ?,example
Je peux échanger mon billet Confort ?,example
Est-ce que je peux modifier mon Premium ?,example
Rbst,example
rbst,example
"Suite à un accident, je ne peux pas prendre mon train. Remboursez-vous mon billet ?",example
comment puis je avoir un remboursement ?,example
J'ai besoin de modifier mon billet c'est possible ?,example
puis je obtenir au tarif jeune mon remboursement de 100% ?,example
je souhaite changer mon billet de train,example
Je peux plus prendre mon train. Est-ce que mon tarif est annulable ?,example
Je veux me faire rembourser svo,example
echange senior premium,example
"J'aimerai échaner mon tarif standard, c'est possible ?",example
est ce que mon tarif est échangeable ?,example
Quels sont les billets Thalys échangeables,example
je veux changer mon billet,example
est-ce que je peux modifier mon billet premium ?,example
est-ce que je peux modifier mon billet premium?,example
je veux faire un échange,example
Tous les billets sont échangeables ?,example
est-ce que j'ai le droit d'échanger mon billet standard ?,example
"j'ai raté mon train, je peux être remboursé?",example
"je voudrais annuler mon voyage, comment faire ?",example
remboursemen thalys rh,example
"j'ai rét mon train, je peux être remboursé?",example
"Je voyage le 20 décembre mais je j'aimerai échanger mon voyage, est-ce possible ?",example
remboursement comfort,example
remboursement week end,example
Puis-je me faire rembourser mon billet en Standard ?,example
Je veux me faire rembourser mon ticket jeune,example
Comment puis-je me faire rembourser mon billet ?,example
"j'aimerai pouvoir me faire rembourser, est-ce possible",example
"J'ai unn imprévu, puis-je annuler mon billet ?",example
quelles sont les conditions de remboursement ?,example
"J'ai un imprévu, puis-je annuler mon billet ?",example
Puis-je me faire rembourser mon billet en Comfort ?,example
est ce que je peux échanger mon billet ?,example
remboursement vip,example
pourquoi peut on être remboursé apres le départ mais pas changer le billet ?,example
remboursement ticketless ?,example
remboursement jeune,example
comment me faire rembourser mon billet ?,example
remboursement rit,example
"J'ai un imprévu, je veux pouvoir échanger mon billet ?",example
remboursement,example
puis-je annuler?,example
remboursement PMR,example
Échange billets premuim,example
puis-je me faire rembourser mon billet ?,example
J’ai un imprévu puis-je annuler mon billet ?,example
mon billet senior peut être échanger ?,example
"J'ai un imprévu, je peux échanger mon billet ?",example
"Je me suis trompée dans ma réservation, puis-je annuler ce billet ?",example
puis-je échanger mon billet premium ?,example
remboursement de mon voyage de demain (référence: QAAAAT),example
Est ce que je peux échanger mon billet standard ?,example
Puis-je échanger mon billet ?,example
pouvez vous me rembourser mon billet ?,example
"J'aimerai échanger mon billet Premium, je crois que c'est possible",example
j'aimerai rembourser mon billet,example
Puis-je échanger mon billet Premium ?,example
remboursement tarif jeune,example
rembourser,example
Est-ce que je peux échanger mon billet ?,example
"j'ai un billet premium, je peux l'échanger?",example
"J'ai un prévu, c'est possible d'échanger son billet premium ?",example
C'est possible d'échanger mon billet ?,example
est ce que je peux me faire rembourser mon billet ?,example
"J'ai pris un billet STANDARD, je peux quand même échanger ?",example
est-ce que l'échange est payant ?,example
"j'ai un tarif Premium, je peux échanger mon billet en ligne ?",example
Echange,example
Je veux échanger mon biller,example
je souhaite rembourser mon billet,example
"non, je souhaite annuler mon billet",example
je souhaite échanger mon billet,example
est-ce que je peux échanger mon billet,example
puis-je annuler un billet premium ?,example
est-ce que l'échange est gratuit ?,example
je peux échanger mon billet,example
remboursement tarif kid,example
je peux annuler mon billet Comfort ?,example
je souhaite annuler mon billet,example
Je peux échanger mon billet premium,example
remboursez moi mon billet,example
puis-je annuler mon voyage?,example
Je peux échanger mon billet ?,example
annule premium,example
c'est quoi l'offre de fidélité thalys ?,negative_example
je veux annuler au plus vite mon billet,example
puis je obtenir au tarif jeune mon remboursement de 100% ?,example
Je voudrais échanger mon billet tick up,example
je souhaite me faire rembourser mon billet,example
j'ai un tarif jeune et je souhaite me faire rembourser,example
est ce que je peux modifier mon billet premium,example
est ce que je peux modifier mon billet premium ?,example
"je voudrais annuler mon voyage, comment faire ?",example
je veux annuler mon billet,example
suite aux conditions climatiques je ne souhaite plus voyager. puis-je me faire rembourser mon billet?,example
J'ai un billet en trop,example
Comment puis-je modifier ma réservation ?,example
je souhaiterais échanger mon billet agent de voyage,example
Bonjour! Le lien pour échanger mon billet ne fonctionne pas. Comment échanger ma réservation,example
Bonjour! Comment faire pour annuler ma réservation sur votre site?,example
"mon train a été annulé, comment obtenir un remboursement ?",example
qui dois-je appeller pour annuler mon billet ?,example
"En cas de grève, mon billet sera-t-il remboursé ?",example
"Je viens de réserver et d'annuler dans la foulée car je me suis trompée de date, comment me faire rembourser ?",example
Comment échanger mon billet ?,example
"Si j'ai déjà acheté un billet en confort, est-il possible de le changer vers un tarif premium",example
je peux échanger mon billet ?,example
Je voudrais changer mon billet,example
j'ai le droit de prendre un autre train avec mon tarif jeune ?,example
"si je souhaite prendre un train plus tôt, ça va me couter cher",example
puis-je savoir si mon billet m'autorise à prendre un train plus tôt ?,example
Pouvez vous me dire si j'ai la souplesse avec mon tarif,example
Est-ce qu'en prenium j'ai le droit a une flexibilité concernant mon billet,example
"J'aimerais prendre un train plus tard, est ce que j'ai le droit ?",example
merci de me préciser si le tarif standard permet de prendre le train d'avant ?,example
est ce que avec mon billet premium je peux prendre n'importe quel train dans la journée ?,example
quelle est la souplesse avec mon billet ?,example
Souplesse de mon tarif standard,example
est ce que je peux prendre un train avant ?,example
puis je prendre les trains encadrants avec mon billet ?,example
"J'aimerais prendre un train plus tôt, c'est possible ?",example
Est ce que j'ai encore la souplesse des trains encadrants avec mon nouveau tarif ?,example
je veux connaitre la flexibilité de mon billet,example
Quelle est la flexibilité avec mon billet ?,example
est-ce que je bénéficie de la souplesse d'accès?,example
souplesse jeune,example
j'ai acheté un billet premium et je voudrais prendre un train avant mon heure de départ,example
puis je prendre un autre Thalys avec un billet standard ?,example
je voudrais savoir si j'ai la souplesse d'accès avec un billet standard,example
j'ai la flexibilité avec un billet premium?,example
j'ai raté mon train je peux prendre le suivant ?,example
j'ai raté mon train est-ce que je peux prendre le suivant,example
je peux prendre le train d'après ?,example
"J'ai un billet TKL, j'ai le droit de monter dans le train précédent ?",example
souplesse premium,example
pouvez vous me dire si je peux changer de train si je suis en avance?,example
Est ce que je peux prendre le train suivant avec un tarif premium,example
Puis-je prendre le train d'avant si j'arrive en avance ?,example
"je suis arrivée en avance à la gare, puis je prendre le train d'avant ?",example
"si j'ai du retard, je pourrais prendre le train d'après ?",example
Merci de m'indiquer les conditions de flexibilité de mon billet,example
Puis je connaitre la flexibilité de mon billet ?,example
Est ce que vous proposez la souplesse d'accès avec le tarif comfort ?,example
Mon billet premium me permet il d'accèder aux trains encadrants ?,example
"Si j'arrive en retard, ai-je le droit de prendre le train d'apres ?",example
"Avec mon billet standart, si je rate mon train, je peux prendre celui d'apres ?",example
"Si je rate mon train, je peux prendre le suivant sans devoir payer un autre billet ?",example
Puis-je connaitre les conditions de flexibilité de mon billet ?,example
Merci de m'indiquer la souplesse de mon billet,example
merci de me dire si mon billet m'autorise une certaine flexibilité,example
J'aimerai connaitre la flexibilité de mon tarif,example
Quelle souplesse pour mon billet ?,example
"j'ai un doute, j'ai choisi le tarif comfort, j'ai le droit de prendre un train avant ou après",example
"mon billet premium c'est comme flex, je peux prendre les trains encadrants ?",example
Je veux savoir si mon bilet comprend la flexibilité d'accès aux trains encadrants,example
est ce que le tarif jeune permet de prendre un train avant ou après ?,example
Quelle sont les conditions de flexibilité de mon billet de train si je le rate ?,example
"j'ai raté mon train, je peux prendre celui d'après sans frais ?",example
"Bonjour, train de 8h43 vers paris Depuis bruxelles. Pouvez vous m annuler mon billet",example
